signal_id,signal_time_utc,session_tag,entry_candle_idx,horizon_candle_idx,horizon_end_utc,current_price,predicted_trend,true_trend,tp,sl,trend_success,tp_before_sl,level_success,level_forced,outcome,time_to_outcome_hours,volatility_score,is_high_volatility,error_injected,confidence_bull,confidence_flat,confidence_bear
1,2025-10-01T00:00:00+00:00,asia_open,48,72,2025-10-02T00:00:00+00:00,118594.99,flat,flat,119651.33,118410.63,1,0,0,0,sl_hit_before_tp,1.00,0.2268,0,0,0.0,55.0,45.0
2,2025-10-01T13:30:00+00:00,us_open,61,85,2025-10-02T13:00:00+00:00,118594.99,bull,bull,119330.56,118400.14,1,0,0,0,sl_hit_before_tp,1.00,0.3162,0,0,52.0,0.0,48.0
3,2025-10-02T00:00:00+00:00,asia_open,72,96,2025-10-03T00:00:00+00:00,120529.35,flat,flat,121022.07,118279.31,1,0,0,0,sl_hit_before_tp,5.00,0.3039,0,0,25.0,50.0,25.0
4,2025-10-02T13:30:00+00:00,us_open,85,109,2025-10-03T13:00:00+00:00,120529.35,flat,flat,121592.46,120133.57,1,0,0,0,sl_hit_before_tp,1.00,0.2195,0,0,48.0,52.0,0.0
5,2025-10-03T00:00:00+00:00,asia_open,96,120,2025-10-04T00:00:00+00:00,122232.00,flat,flat,123894.99,119248.30,1,0,0,0,sl_hit_before_tp,8.00,0.2574,0,0,0.0,55.0,45.0
6,2025-10-03T13:30:00+00:00,us_open,109,133,2025-10-04T13:00:00+00:00,122232.00,flat,flat,123894.99,121022.00,1,0,0,0,sl_hit_before_tp,1.00,0.2350,0,0,0.0,56.0,44.0
7,2025-10-04T00:00:00+00:00,asia_open,120,144,2025-10-05T00:00:00+00:00,122391.00,flat,flat,123007.91,121972.57,1,0,0,0,sl_hit_before_tp,1.00,0.2154,0,0,0.0,52.0,48.0
8,2025-10-04T13:30:00+00:00,us_open,133,157,2025-10-05T13:00:00+00:00,122391.00,flat,bull,122800.00,121510.00,0,0,0,0,sl_hit_before_tp,5.00,0.2061,0,1,0.0,52.0,48.0
9,2025-10-05T00:00:00+00:00,asia_open,144,168,2025-10-06T00:00:00+00:00,123482.31,flat,flat,125708.42,122136.00,1,0,0,0,sl_hit_before_tp,1.00,0.1339,0,0,9.0,46.0,45.0
10,2025-10-05T13:30:00+00:00,us_open,157,181,2025-10-06T13:00:00+00:00,123482.31,bull,bull,125708.42,122391.00,1,0,0,0,sl_hit_before_tp,3.00,0.2916,0,0,55.0,0.0,45.0
11,2025-10-06T00:00:00+00:00,asia_open,168,192,2025-10-07T00:00:00+00:00,124658.54,flat,flat,126199.63,123327.96,1,0,0,0,sl_hit_before_tp,1.00,0.3071,0,0,0.0,52.0,48.0
12,2025-10-06T13:30:00+00:00,us_open,181,205,2025-10-07T13:00:00+00:00,124658.54,bull,bear,125416.13,124476.51,0,0,0,0,sl_hit_before_tp,1.00,0.2152,0,1,60.0,0.0,40.0
13,2025-10-07T00:00:00+00:00,asia_open,192,216,2025-10-08T00:00:00+00:00,121332.95,flat,bull,121640.99,120598.90,0,0,0,1,sl_hit_before_tp,8.21,0.2603,0,1,0.0,55.0,45.0
14,2025-10-07T13:30:00+00:00,us_open,205,229,2025-10-08T13:00:00+00:00,121332.95,flat,bull,121634.35,120782.73,0,0,0,1,sl_hit_before_tp,3.93,0.2640,0,1,48.0,52.0,0.0
15,2025-10-08T00:00:00+00:00,asia_open,216,240,2025-10-09T00:00:00+00:00,123306.00,flat,flat,124197.25,123179.09,1,0,0,0,sl_hit_before_tp,1.00,0.3170,0,0,0.0,55.0,45.0
16,2025-10-08T13:30:00+00:00,us_open,229,253,2025-10-09T13:00:00+00:00,123306.00,bear,bear,124197.25,121066.14,1,0,0,0,sl_hit_before_tp,1.00,0.3246,0,0,42.0,0.0,58.0
17,2025-10-09T00:00:00+00:00,asia_open,240,264,2025-10-10T00:00:00+00:00,121662.40,flat,flat,121950.72,120888.08,1,0,0,1,sl_hit_before_tp,18.28,0.2935,0,0,45.0,55.0,0.0
18,2025-10-09T13:30:00+00:00,us_open,253,277,2025-10-10T13:00:00+00:00,121662.40,flat,flat,123762.94,119651.47,1,0,0,0,sl_hit_before_tp,4.00,0.3593,0,0,0.0,52.0,48.0
19,2025-10-10T00:00:00+00:00,asia_open,264,288,2025-10-11T00:00:00+00:00,112774.50,flat,flat,113076.80,112359.97,1,0,0,1,sl_hit_before_tp,6.73,0.3865,0,0,45.0,55.0,0.0
20,2025-10-10T13:30:00+00:00,us_open,277,301,2025-10-11T13:00:00+00:00,112774.50,bear,bear,102000.00,114944.00,1,0,0,0,sl_hit_before_tp,1.00,0.2934,0,0,35.0,0.0,65.0
21,2025-10-11T00:00:00+00:00,asia_open,288,312,2025-10-12T00:00:00+00:00,110644.40,flat,bear,114829.21,109561.59,0,0,0,0,sl_hit_before_tp,21.00,0.4566,1,1,45.0,55.0,0.0
22,2025-10-11T13:30:00+00:00,us_open,301,325,2025-10-12T13:00:00+00:00,110644.40,bear,bull,102000.00,114313.81,0,0,0,0,no_hit,24.00,0.7052,1,1,45.0,0.0,55.0
23,2025-10-12T00:00:00+00:00,asia_open,312,336,2025-10-13T00:00:00+00:00,114958.80,flat,flat,115017.34,114408.36,1,0,0,0,sl_hit_before_tp,1.00,0.5366,1,0,45.0,55.0,0.0
24,2025-10-12T13:30:00+00:00,us_open,325,349,2025-10-13T13:00:00+00:00,114958.80,flat,flat,115770.00,114408.36,1,0,0,0,sl_hit_before_tp,1.00,0.3209,0,0,45.0,55.0,0.0
25,2025-10-13T00:00:00+00:00,asia_open,336,360,2025-10-14T00:00:00+00:00,115166.00,flat,flat,118672.94,114503.29,1,0,0,0,sl_hit_before_tp,4.00,0.3358,0,0,45.0,55.0,0.0
26,2025-10-13T13:30:00+00:00,us_open,349,373,2025-10-14T13:00:00+00:00,115166.00,flat,bear,118672.94,114503.29,0,0,0,0,sl_hit_before_tp,1.00,0.3598,0,1,45.0,55.0,0.0
27,2025-10-14T00:00:00+00:00,asia_open,360,384,2025-10-15T00:00:00+00:00,113028.14,flat,flat,113284.35,112601.89,1,0,0,1,sl_hit_before_tp,7.57,0.3119,0,0,45.0,55.0,0.0
28,2025-10-14T13:30:00+00:00,us_open,373,397,2025-10-15T13:00:00+00:00,113028.14,bear,bear,116146.00,109866.00,1,0,0,0,sl_hit_before_tp,1.00,0.3599,0,0,40.0,0.0,60.0
29,2025-10-15T00:00:00+00:00,asia_open,384,408,2025-10-16T00:00:00+00:00,110763.28,flat,flat,111123.36,110005.99,1,0,0,1,sl_hit_before_tp,10.64,0.3694,0,0,45.0,55.0,0.0
30,2025-10-15T13:30:00+00:00,us_open,397,421,2025-10-16T13:00:00+00:00,110763.28,bear,flat,102000.00,113267.66,0,0,0,0,no_hit,24.00,0.2836,0,1,40.0,0.0,60.0
31,2025-10-16T00:00:00+00:00,asia_open,408,432,2025-10-17T00:00:00+00:00,108194.28,flat,bull,112301.30,107427.00,0,0,0,0,sl_hit_before_tp,20.00,0.2283,0,1,40.0,60.0,0.0
32,2025-10-16T13:30:00+00:00,us_open,421,445,2025-10-17T13:00:00+00:00,108194.28,bear,bear,107555.68,108383.78,1,0,0,0,sl_hit_before_tp,1.00,0.2888,0,0,45.0,0.0,55.0
33,2025-10-17T00:00:00+00:00,asia_open,432,456,2025-10-18T00:00:00+00:00,106431.68,flat,flat,106682.39,105775.60,1,0,0,1,sl_hit_before_tp,9.72,0.4760,1,0,38.0,62.0,0.0
34,2025-10-17T13:30:00+00:00,us_open,445,469,2025-10-18T13:00:00+00:00,106431.68,flat,bull,109115.23,103528.23,0,0,0,0,no_hit,24.00,0.5555,1,1,45.0,55.0,0.0
35,2025-10-18T00:00:00+00:00,asia_open,456,480,2025-10-19T00:00:00+00:00,107185.01,bear,flat,106322.20,107499.00,0,0,0,0,sl_hit_before_tp,7.00,0.4825,1,1,40.0,0.0,60.0
36,2025-10-18T13:30:00+00:00,us_open,469,493,2025-10-19T13:00:00+00:00,107185.01,flat,bull,108280.00,106322.20,0,0,0,0,sl_hit_before_tp,19.00,0.3390,0,1,45.0,55.0,0.0
37,2025-10-19T00:00:00+00:00,asia_open,480,504,2025-10-20T00:00:00+00:00,108642.78,flat,bear,111982.45,107466.00,0,0,0,0,sl_hit_before_tp,1.00,0.1921,0,1,45.0,55.0,0.0
38,2025-10-19T13:30:00+00:00,us_open,493,517,2025-10-20T13:00:00+00:00,108642.78,bull,bull,109284.80,108424.55,1,0,0,0,sl_hit_before_tp,1.00,0.2042,0,0,55.0,0.0,45.0
39,2025-10-20T00:00:00+00:00,asia_open,504,528,2025-10-21T00:00:00+00:00,110532.09,flat,flat,111705.56,108450.21,1,0,0,0,sl_hit_before_tp,1.00,0.2727,0,0,45.0,55.0,0.0
40,2025-10-20T13:30:00+00:00,us_open,517,541,2025-10-21T13:00:00+00:00,110532.09,flat,bear,110871.59,110100.92,0,0,0,1,sl_hit_before_tp,19.84,0.3056,0,1,48.0,52.0,0.0
41,2025-10-21T00:00:00+00:00,asia_open,528,552,2025-10-22T00:00:00+00:00,108297.67,flat,flat,108555.43,107596.60,1,0,0,1,sl_hit_before_tp,19.91,0.2934,0,0,40.0,60.0,0.0
42,2025-10-21T13:30:00+00:00,us_open,541,565,2025-10-22T13:00:00+00:00,108297.67,flat,bull,108562.38,107907.75,0,0,0,1,sl_hit_before_tp,20.57,0.3225,0,1,42.0,58.0,0.0
43,2025-10-22T00:00:00+00:00,asia_open,552,576,2025-10-23T00:00:00+00:00,107567.44,flat,flat,107847.60,106991.07,1,0,0,1,sl_hit_before_tp,10.79,0.6010,1,0,35.0,65.0,0.0
44,2025-10-22T13:30:00+00:00,us_open,565,589,2025-10-23T13:00:00+00:00,107567.44,flat,bull,107858.74,107087.68,0,0,0,1,sl_hit_before_tp,23.41,0.5498,1,1,45.0,55.0,0.0
