pos_id,symbol,side,opened_at_utc,closed_at_utc,duration_min,entry_price,exit_price,qty_btc,notional_usdt,fills,realized_pnl_usdt,commission_usdt,net_usdt,close_reason
234,BTCUSDT,SHORT,2026-06-04 02:51:12,2026-06-04 03:51:07,59.9,63490.7,63948.0,0.015,952.36,2,-6.8595,0.9558,-7.8153,already_closed_on_exchange
236,BTCUSDT,SHORT,2026-06-04 07:54:12,2026-06-04 11:17:37,203.4,63740.7,62764.31,0.015,956.11,5,14.6459,0.9488,13.6971,manual_close
263,BTCUSDT,LONG,2026-06-10 17:27:52,2026-06-10 21:50:11,262.3,62048.8,61389.1,0.008,496.39,2,-5.2776,0.4938,-5.7714,reconciled_closed_on_exchange
268,BTCUSDT,SHORT,2026-06-10 23:29:52,2026-06-11 01:13:57,104.1,61531.4,62077.4,0.008,492.25,2,-4.368,0.4944,-4.8624,reconciled_closed_on_exchange
269,BTCUSDT,LONG,2026-06-11 01:30:52,2026-06-11 05:26:05,235.2,62143.1,62645.95,0.008,497.14,3,4.0228,0.4992,3.5236,manual_close
274,BTCUSDT,LONG,2026-06-11 08:34:56,2026-06-12 22:54:33,2299.6,62913.3,63729.3,0.007,440.39,10,5.712,0.4432,5.2688,manual_close
292,BTCUSDT,LONG,2026-06-15 08:24:38,2026-06-15 09:49:37,85.0,65610.0,65510.1,0.152,9972.72,3,-15.1848,9.9651,-25.1499,manual_close
296,BTCUSDT,LONG,2026-06-15 13:27:40,2026-06-15 16:25:02,177.4,66811.9,67174.5,0.149,9954.97,4,54.0274,9.982,44.0454,manual_close
301,BTCUSDT,SHORT,2026-06-18 09:00:47,2026-06-18 12:55:23,234.6,64331.1,64277.58,0.155,9971.32,9,8.2953,9.9672,-1.6719,reconciled_closed_on_exchange
305,BTCUSDT,SHORT,2026-06-18 21:07:46,2026-06-19 13:45:57,998.2,63068.4,63153.63,0.158,9964.81,13,-13.4658,9.9715,-23.4373,reconciled_closed_on_exchange
308,BTCUSDT,SHORT,2026-06-19 14:19:42,2026-06-20 00:33:18,613.6,63046.0,63666.0,0.158,9961.27,2,-97.96,10.0102,-107.9702,reconciled_closed_on_exchange
